State/UT,MPI 2019/21 (V),Headcount Ratio 2019/21 (V)
Andhra Pradesh,0.006,1.57%
Arunachal Pradesh,0.068,16.60%
Assam,0.022,6.56%
Bihar,0.068,16.40%
Chhattisgarh,0.025,7.50%
Goa,0.001,0.19%
Gujarat,0.003,0.80%
Haryana,0.003,0.63%
Himachal Pradesh,0.003,0.62%
Jammu & Kashmir,0.005,1.16%
Jharkhand,0.023,6.29%
Karnataka,0.005,1.30%
Kerala,0.001,0.20%
Madhya Pradesh,0.017,4.27%
Maharashtra,0.007,2.02%
Manipur,0.015,3.60%
Meghalaya,0.036,8.27%
Mizoram,0.004,1.05%
Nagaland,0.004,0.92%
Odisha,0.023,6.17%
Punjab,0.003,0.59%
Rajasthan,0.008,1.73%
Sikkim,0.001,0.18%
Tamil Nadu,0.002,0.42%
Telangana,0.002,0.43%
Tripura,0.007,1.97%
Uttar Pradesh,0.019,4.79%
Uttarakhand,0.004,1.04%
West Bengal,0.008,2.04%
Andaman & Nicobar Islands,0.000,0.05%
Chandigarh,0.000,0.00%
Dadra & Nagar Haveli & Daman & Diu,0.001,0.18%
Delhi,0.001,0.28%
Ladakh,0.001,0.17%
Puducherry,0.000,0.02%
