State/UT,MPI 2019/21 (V),Headcount Ratio 2019/21 (V),Average Nightlight
Andhra Pradesh,0.006,0.015700000000000002,0.77012366
Arunachal Pradesh,0.068,0.166,0.2833564
Assam,0.022,0.06559999999999999,0.8353469
Bihar,0.068,0.16399999999999998,1.3605741
Chhattisgarh,0.025,0.075,0.75389105
Goa,0.001,0.0019,2.0342042
Gujarat,0.003,0.008,1.2017184
Haryana,0.003,0.0063,1.8888813
Himachal Pradesh,0.003,0.0062,0.49490955
Jammu & Kashmir,0.005,0.0116,
Jharkhand,0.023,0.0629,1.0722904
Karnataka,0.005,0.013000000000000001,1.1125002
Kerala,0.001,0.002,1.0186377
Madhya Pradesh,0.017,0.042699999999999995,0.77835166
Maharashtra,0.007,0.0202,1.1242764
Manipur,0.015,0.036000000000000004,0.43905762
Meghalaya,0.036,0.0827,0.5382875
Mizoram,0.004,0.0105,0.25685066
Nagaland,0.004,0.0092,0.44697243
Odisha,0.023,0.0617,
Punjab,0.003,0.0059,1.5630695
Rajasthan,0.008,0.0173,0.7515248
Sikkim,0.001,0.0018,0.41874343
Tamil Nadu,0.002,0.0042,1.241696
Telangana,0.002,0.0043,1.3587672
Tripura,0.007,0.0197,0.9019619
Uttar Pradesh,0.019,0.0479,1.3860509
Uttarakhand,0.004,0.0104,
West Bengal,0.008,0.0204,1.5332683
Andaman & Nicobar Islands,0.0,0.0005,
Chandigarh,0.0,0.0,22.214151
Dadra & Nagar Haveli & Daman & Diu,0.001,0.0018,
Delhi,0.001,0.0028000000000000004,23.612265
Ladakh,0.001,0.0017000000000000001,0.39263564
Puducherry,0.0,0.0002,3.1903098
